sortType;A;B;C;D;E;
"First 0.000000 sorted";1.208431;6.390525;13.266592;70.295652;142.551867;
"First 25.000000 sorted";1.300697;6.541296;14.729782;71.421379;142.590990;
"First 50.000000 sorted";1.567240;9.292189;19.591575;116.430539;244.224268;
"First 75.000000 sorted";1.110034;6.174968;12.434749;65.372041;139.252511;
"First 95.000000 sorted";1.188296;6.211599;12.057177;65.014717;132.961978;
"First 99.000000 sorted";1.002860;5.301318;11.020157;55.247388;89.775178;
"First 99.699997 sorted";0.892481;4.149055;7.632861;44.359673;87.906093;
"All sorted reverse";0.851250;3.735797;8.596309;41.379348;83.754738;
