sortType;A;B;C;D;E;
"First 0.000000 sorted";0.642196;3.707805;8.046815;42.339964;87.802629;
"First 25.000000 sorted";0.643640;3.673075;7.793263;41.226995;83.463930;
"First 50.000000 sorted";0.680315;3.550143;6.916791;40.022959;86.323950;
"First 75.000000 sorted";0.531111;3.129129;6.769069;37.525951;79.594836;
"First 95.000000 sorted";0.522540;3.026986;6.313327;37.077088;75.436885;
"First 99.000000 sorted";0.544672;2.907810;6.063853;33.466258;70.470405;
"First 99.699997 sorted";0.487865;3.008432;6.319327;33.493096;69.406806;
"All sorted reverse";0.486619;2.845859;5.947964;33.383276;67.877067;
