sortType;A;B;C;D;E;
"First 0.000000 sorted";0.412101;2.969093;6.522874;34.951198;72.611323;
"First 25.000000 sorted";0.489708;2.863955;6.138873;34.594517;71.977458;
"First 50.000000 sorted";0.611880;4.451357;11.445636;90.789178;231.471627;
"First 75.000000 sorted";0.456662;2.535409;5.248883;29.948750;62.462260;
"First 95.000000 sorted";0.401952;2.182259;4.710750;27.517474;54.060257;
"First 99.000000 sorted";0.301232;1.767505;3.894913;22.053189;46.405663;
"First 99.699997 sorted";0.296978;1.717145;3.549680;19.857937;41.993355;
"All sorted reverse";0.218223;1.322024;2.771412;15.549067;31.223546;
