sortType;A;B;C;D;E;
"First 0.000000 sorted";0.731782;4.016807;8.284770;47.393877;99.135722;
"First 25.000000 sorted";0.654850;3.902496;8.245569;46.752141;99.414615;
"First 50.000000 sorted";0.659551;3.974650;8.143519;44.308284;92.738245;
"First 75.000000 sorted";0.663162;3.722530;7.746027;42.331855;88.642251;
"First 95.000000 sorted";0.611668;3.483423;7.371766;40.309206;84.799716;
"First 99.000000 sorted";0.586572;3.335889;7.089358;41.897308;88.558645;
"First 99.699997 sorted";0.687649;3.580951;7.337983;40.490700;84.057496;
"All sorted reverse";0.582927;3.521061;7.389920;40.252279;77.790533;
