sortType;A;B;C;D;E;
"First 0.000000 sorted";0.420017;2.863614;6.187779;34.313316;70.134028;
"First 25.000000 sorted";0.483336;2.819965;5.947259;33.150312;69.560771;
"First 50.000000 sorted";0.588725;4.323718;10.475292;87.109165;215.674592;
"First 75.000000 sorted";0.433927;2.383996;5.221325;29.044115;61.100759;
"First 95.000000 sorted";0.367513;2.213156;4.703835;26.337199;55.061378;
"First 99.000000 sorted";0.310895;1.835978;3.867490;22.583679;47.729841;
"First 99.699997 sorted";0.301913;1.663623;3.563080;20.211946;43.258534;
"All sorted reverse";0.259750;1.441786;3.079945;15.535016;32.521986;
