sortType;A;B;C;D;E;
"First 0.000000 sorted";0.562669;3.222132;6.849722;38.110848;79.730114;
"First 25.000000 sorted";0.550633;3.108881;6.498202;37.235884;80.892066;
"First 50.000000 sorted";0.719431;4.983647;11.940011;102.469983;252.996585;
"First 75.000000 sorted";0.490528;2.806264;6.014776;33.340475;69.575526;
"First 95.000000 sorted";0.399348;2.536534;5.284100;30.305370;63.499091;
"First 99.000000 sorted";0.360789;2.154073;4.465596;26.015406;55.472187;
"First 99.699997 sorted";0.360100;1.946918;4.096281;23.935758;50.380458;
"All sorted reverse";0.268960;1.663247;3.411420;17.945767;37.658636;
