sortType;A;B;C;D;E;
"First 0.000000 sorted";0.910623;5.776038;11.473142;60.437786;123.903563;
"First 25.000000 sorted";1.026518;5.417532;11.444551;60.281478;122.107641;
"First 50.000000 sorted";1.313994;7.871055;16.246314;98.983441;207.784187;
"First 75.000000 sorted";0.972849;5.252389;10.979658;56.744616;115.842146;
"First 95.000000 sorted";0.992739;5.289953;10.608922;57.058504;113.689838;
"First 99.000000 sorted";0.880907;4.712009;9.557684;47.906111;84.140024;
"First 99.699997 sorted";0.784028;3.340660;8.015438;39.934107;81.815547;
"All sorted reverse";0.570579;3.755351;7.590136;37.405425;76.519630;
