sortType;A;B;C;D;E;
"First 0.000000 sorted";1.076159;5.917903;12.291455;62.566009;128.235533;
"First 25.000000 sorted";1.075322;5.777745;11.779430;62.526755;128.045981;
"First 50.000000 sorted";1.429677;8.259506;17.140345;104.555167;220.110201;
"First 75.000000 sorted";1.072783;5.441957;11.353589;56.043028;113.601513;
"First 95.000000 sorted";0.949746;5.211951;10.427388;54.815986;110.623796;
"First 99.000000 sorted";0.867001;4.607987;9.452217;47.077117;86.122604;
"First 99.699997 sorted";0.624085;3.891959;7.733060;42.028123;87.254537;
"All sorted reverse";0.719775;3.395839;7.687013;38.020330;77.695496;
