sortType;A;B;C;D;E;
"First 0.000000 sorted";0.481667;3.550263;7.651215;41.434871;84.891933;
"First 25.000000 sorted";0.605769;3.490142;7.192731;39.417305;81.813839;
"First 50.000000 sorted";0.554272;3.300276;6.978244;37.452618;78.205628;
"First 75.000000 sorted";0.537190;3.217548;6.637030;35.587999;75.681548;
"First 95.000000 sorted";0.510936;3.021533;6.498717;34.796465;72.926361;
"First 99.000000 sorted";0.535234;2.995675;6.123509;34.220585;72.085128;
"First 99.699997 sorted";0.491728;3.067179;6.427019;35.684946;71.207541;
"All sorted reverse";0.503366;3.096051;6.433266;34.404323;69.024186;
